district,taluka,village
,,Maharashtra
,,4473 AKKALKUWA 182133 SINDURI 525004 Chimalkhedi 178 775} 177 774 99.9
,,4473 AKKALKUWA 182133 SINDURI 525005 Sinduri 233 1297] 228 1271) 98.0
,,4473 AKKALKUWA 182133 SINDURI 525006 Bamani 220 1194] 217] 1181) 98.9
,,4473 AKKALKUWA 182104 DENAL 525007 Danel 325 1794] 324) 1790) 99.8
,,"4473 AKKALKUWA 182133 SINDURI 525009 Gaman 518 3097, 516 3090) 99.8"
,,4473 AKKALKUWA 182121 MANIBELI 525010 Jangathi 344) 2165) 342 2156 99.6
,,4473 AKKALKUWA 182118 KUKADIPADAR 525012 Kukadipadar 129 627] 128 625 99.7
,,4473 AKKALKUWA 182118 KUKADIPADAR 525013 Kewadi 199 1124] 198 1121) 99.7
,,4473 AKKALKUWA 182128 PIPALKHUTA 525014 Barisurgas 110 609] 107 594 97.5
,,4473 AKKALKUWA 182128 PIPALKHUTA 525015 Pimpalkhunta 496 2744| 492 2725) 99.3
,,4473 AKKALKUWA 182128 PIPALKHUTA 525016 Surgas 149 1253} 148 1250} 99.8
,,4473 AKKALKUWA 182128 PIPALKHUTA 525018 Jugalkhet 146 887] 145 885 99.8
,,4473 AKKALKUWA 182101 BHIUJARIGAVAN 525019 Balaghat 260 1224] 260 1224] 100.0
,,4473 AKKALKUWA 182128 PIPALKHUTA 525020 Bardi 366 2412) 364) 2404) 99.7
,,4473 AKKALKUWA 182142 WADVFALI 525021 Mokas 409 2326) 406 2309) 99.3
,,4473 AKKALKUWA 182142 WADVFALI 525022 Pandhramati 274| 1533} 273 1530} 99.8
,,4473 AKKALKUWA 182118 KUKADIPADAR 525023 Chapadi 116 719 116 719 100.0
,,4473 AKKALKUWA 182142 WADVFALI 525024 Wadfali 257] 1764] 254) 1750) 99.2
,,4473 AKKALKUWA 182142 WADVFALI 525025 Movan 148 792 145 777 98.1
,,4473 AKKALKUWA 182142 WADVFALI 525026 Bagda 317] 1715) 315 1705 99.4
,,4473 AKKALKUWA 182128 PIPALKHUTA 525028 Vehgi 237] 1286 235 1277] 99.3
,,4473 AKKALKUWA 182105 DEBRAMAL 525029 Debramal 104 620 104 620 100.0
,,4473 AKKALKUWA 182104 DENAL 525032 Mandawa 142 1212) 141 1209} 99.8
,,4473 AKKALKUWA 182105 DEBRAMAL 525033 Kanjala 98 535} 96) 525 98.1
,,4473 AKKALKUWA 182100 BHAGARPANI 525035 Veri 344) 1795) 252 1320) 73.5
,,4473 AKKALKUWA 182100 BHAGARPANI 525036 Chanwai 231 1145) 230 1144] 99.9
,,4473 AKKALKUWA 182120 MAHALPADA 525037 Mahalpada 239 1224] 237] 1216} 99.3
,,"4473 AKKALKUWA 182099 BHAGDARI 525038 Bhagdari 1259) 7087, 1253) 7058 99.6"
,,4473 AKKALKUWA 182099 BHAGDARI 525039 Olpada 111 678| 109 671 99.0
,,4473 AKKALKUWA 182101 BHIUJARIGAVAN 525040 Bijaligavhan 257] 1417] 257] 1417] 100.0
,,4473 AKKALKUWA 182101 BHUJARIGAVAN 525041 Kanjani 121 748} 120 746 99.7
,,4473 AKKALKUWA 182123 MOLGI 525042 Bijaripati 200 1103} 200 1103} 100.0
,,4473 AKKALKUWA 182123 MOLGI 525043 Molgi 762 4393} 544) 3138 71.4
,,4473 AKKALKUWA 182123 MOLGI 525044 Ukhalipada 161 763} 161 763 100.0
,,4473 AKKALKUWA 182123 MOLGI 525045 Sorachapada 276 1489} 272 1469} 98.7
,,"4473 AKKALKUWA 182114 KATHI 525046 Kathi 712 3722, 689 3606 96.9"
,,4473 AKKALKUWA 182100 BHAGARPANI 525047 Bhangrapani 297] 1889} 296 1885} 99.8
,,4473 AKKALKUWA 182100 BHAGARPANI 525048 Pimprapani 114 649] 114 649 100.0
,,4473 AKKALKUWA 182100 BHAGARPANI 525050 Umati 115 708} 115 708 100.0
,,4473 AKKALKUWA 182100 BHAGARPANI 525051 Jamali 306 1517] 305 1516} 99.9
,,4473 AKKALKUWA 276174 BOKHADI 525052 Bokhadi 190 965] 186 949 98.3
,,4473 AKKALKUWA 276173 BEDAKUND 525053 Bedakund 252 1387| 251 1384] 99.8
,,4473 AKKALKUWA 276174 BOKHADI 525054 Bharkund 130 713} 130 713 100.0
,,4473 AKKALKUWA 261603 SALLIBAR 525055 Sallibar 343 1828} 342 1826 99.9
,,"4473 AKKALKUWA 182140 VELI 525056 Veli 444) 2371 436 2332, 98.4"
,,4473 AKKALKUWA 276175 WADIBAR 525058 Urmilamal 144 646} 143 645 99.8
,,4473 AKKALKUWA 301021 CHIVALUTAR 525059 Chivalutar 288 1636} 287] 1632| 99.8
,,4473 AKKALKUWA 182111 JAMANA 525062 Jamana 285 1521) 281 1502} 98.8
,,4473 AKKALKUWA 182111 JAMANA 525063 Patbara 171 930 169 922 99.1
,,4473 AKKALKUWA 182139 _| UMARAGAVHAN 525064 Umargavhan 241 1216) 240 1215} 99.9
,,Maharashtra
,,4473 AKKALKUWA 301022 MAL 525066 Nendwan Khurd 99 523} 99) 523 100.0
,,4473 AKKALKUWA 301022 MAL 525069 Mal 124 707| 123 706 99.9
,,4473 AKKALKUWA 261615 HUNAKHAMB 525070 Hunakhamb 300 1766} 298 1755) 99.4
,,4473 AKKALKUWA 182122 MOGARA 525071 Khodi 104 624} 104 624 100.0
,,4473 AKKALKUWA 261578 SARI 525072 Sari 434) 2664) 431 2647] 99.4
,,4473 AKKALKUWA 182132 SAKALIUMBAR 525073 Junwani 112 617 110 611 99.0
,,4473 AKKALKUWA 182132 SAKALIUMBAR 525074 Sakliumar 322 1566} 321 1564] 99.9
,,4473 AKKALKUWA 276175 WADIBAR 525075 Wadibar 135 818} 134 812 99.3
,,4473 AKKALKUWA 182103 DAB 525076 Walamba (k) 314] 1696} 313 1695} 99.9
,,4473 AKKALKUWA 261616 DAHEL 525077 Dahel 443 2313) 441 2306 99.7
,,4473 AKKALKUWA 182122 MOGARA 525078 Mogra 257| 1552} 257| 1552} 100.0
,,4473 AKKALKUWA 182122 MOGARA 525079 Oghani 359 1915} 357] 1909} 99.7
,,4473 AKKALKUWA 182122 MOGARA 525080 Chikhali 182 1067 181 1066} 99.9
,,4473 AKKALKUWA 261618 WALAMBA R 525081 Walamba (R) 410 1872) 396 1811) 96.7
,,4473 AKKALKUWA 182110 HORAFALI 525082 Nimbapati 183 987] 182 984 99.7
,,"4473 AKKALKUWA 182110 HORAFALI 525083 Horafali 352 2192, 350 2184] 99.6"
,,"4473 AKKALKUWA 261617 MORKHI 525085 Morkhi 536 2522, 533 2511 99.6"
,,4473 AKKALKUWA 261619 KHADAKPANI 525087 Khadakapani 366 1850} 364) 1843} 99.6
,,4473 AKKALKUWA 182122 MOGARA 525089 Kothali 95) 557| 94) 552 99.1
,,4473 AKKALKUWA 276061 KUWA 525090 Kataskhai 93 577| 93} 577 100.0
,,"4473 AKKALKUWA 182126 OHAWA 525091 Ohwa 345 2122, 340 2097] 98.8"
,,4473 AKKALKUWA 182103 DAB 525092 Todikund 128 649] 128 649 100.0
,,4473 AKKALKUWA 182103 DAB 525093 Dab 697] 4455] 694) 4438 99.6
,,4473 AKKALKUWA 276054 KHAI 525094 Khai 312 1590} 312 1590} 100.0
,,4473 AKKALKUWA 276061 KUWA 525095 Kuwa 299 1436} 298 1433} 99.8
,,4473 AKKALKUWA 276058 KOLAVIMAL 525096 Kolavimal 293 1524] 292 1523} 99.9
,,4473 AKKALKUWA 276056 KANKALAMAAL 525097 Kankalamal 288 1725) 287] 1722) 99.8
,,4473 AKKALKUWA 182124 MORAMBA 525098 Bharadipadar 183 963} 182 958 99.5
,,4473 AKKALKUWA 261648 AMBABARI 525101 Ambabari 400 1790} 383 1718) 96.0
,,4473 AKKALKUWA 182124 MORAMBA 525102 Ratanbara 228 994} 227] 990 99.6
,,4473 AKKALKUWA 182124 MORAMBA 525103 Rojkund 537] 2368) 536 2365) 99.9
,,4473 AKKALKUWA 182124 MORAMBA 525104 Moramba 724) 3503; 719 3481 99.4
,,4473 AKKALKUWA 261594 RAMPUR 525105 Rampur 467] 1973} 465 1967] 99.7
,,4473 AKKALKUWA 261594 RAMPUR 525106 Shendvan 172 691 167 672 97.3
,,4473 AKKALKUWA 182136 TALAMBA 525107 Talamba 280 1472) 276 1456} 98.9
,,4473 AKKALKUWA 182124 MORAMBA 525108 Mahukhadi 221 884} 221 884 100.0
,,4473 AKKALKUWA 274183 JAMBAPANI 525109 Jambhapani 155 719] 155 719 100.0
,,4473 AKKALKUWA 182130 RASINGPUR 525111 Raysingpur 228 1300} 177 1011) 77.8
,,4473 AKKALKUWA 182113 KAKADKHUT 525115 Kakadkhunt 257] 1055} 256 1052} 99.7
,,4473 AKKALKUWA 182113 KAKADKHUT 525116 Mahupada 231 918} 231 918 100.0
,,4473 AKKALKUWA 276168 KHADKUNA 525117 Khadkuna 230 1079} 230 1079} 100.0
,,4473 AKKALKUWA 182136 TALAMBA 525118 Kakdiamba 251 1208} 249 1199} 99.3
,,4473 AKKALKUWA 182108 GAVAHLI 525119 Gavhali 202 946} 195 914 96.6
,,4473 AKKALKUWA 182108 GAVAHLI 525120 Dodawa 172 767| 171 765 99.7
,,4473 AKKALKUWA 261588 NAVAPADA 525121 Nawapada 294) 1359} 289 1337] 98.4
,,4473 AKKALKUWA 276172 TAWALI 525122 Umarkuva 210 964} 209 962 99.8
,,4473 AKKALKUWA 182127 PECHARIDEV 525123 Pechari Deo 245 1321) 232 1256} 95.1
,,4473 AKKALKUWA 276172 TAWALI 525124 Tawali 226 990 221 969 97.9
,,4473 AKKALKUWA 182129 PORAMBI 525125 Porambi 211 953} 211 953 100.0
,,4473 AKKALKUWA 276169 MANDARA 525127 Mandara 239 1155) 238 1151) 99.7
,,Maharashtra
,,4473 AKKALKUWA 261626 KOYALIVIHIR 525128 Kolavi 144 719] 140 700 97.4
,,4473 AKKALKUWA 261626 KOYALIVIHIR 525129 Koyalivihir 200 982| 200 982 100.0
,,4473 AKKALKUWA 261625 SONAPATI 525131 Sonapati 242 1107] 242 1107] 100.0
,,4473 AKKALKUWA 182119 | M.AKKUSHVIHIR| 525134 Bri.Ankushvihir 281 1282} 279 1273} 99.3
,,4473 AKKALKUWA 182116 KATAWANI 525135 Khatwani 413 1817| 411 1810 99.6
,,4473 AKKALKUWA 261656 JANKUSHVIHIRBRI| 525136 Me.Ankushvihir 255 1097 233 1005} 91.6
,,4473 AKKALKUWA 182130 RASINGPUR 525137 Digiamba 158 666} 158 666 100.0
,,4473 AKKALKUWA 261649 NAVANAGARMUTH} 525139 Nawa Nangarmutha 326 1429} 203 890 62.3
,,4473 AKKALKUWA 182116 KATAWANI 525141 Kumbharkhan 76 647| 74) 638 98.6
,,4473 AKKALKUWA 261579 KAULI 525142 Gotpada 181 888} 180 885 99.7
,,4473 AKKALKUWA 182138 UDEPURM. 525143 Udepur(chota) 166 802 159 770 96.0
,,4473 AKKALKUWA 261646 GULIAMBER 525144 Guliumbar 212 858} 205 832 97.0
,,4473 AKKALKUWA 182138 UDEPURM. 525147 Sheltapani 204) 875] 203 873 99.8
,,4473 AKKALKUWA 182138 UDEPURM. 525148 Chandpur 131 543} 131 543 100.0
,,4473 AKKALKUWA 182138 UDEPURM. 525149 Udepur(Motha) 200 843} 200 843 100.0
,,4473 AKKALKUWA 182117 KORAI 525150 Korai 603 2941) 341 1666) 56.6)
,,4473 AKKALKUWA 182116 KATAWANI 525153 Jamali (umarkuwa) 120 603} 109 548 90.9
,,4473 AKKALKUWA 261579 KAULI 525154 Kauli 199 1050 186 982 93.5
,,4473 AKKALKUWA 182115 KHAPER 525155 Amaliphali 239 1094] 158 725 66.3
,,4473 AKKALKUWA 182102 | BRAMHANGAON| 525156 Bamangaon 363 1721) 359 1703} 99.0
,,4473 AKKALKUWA 182112 KADWAMAHU 525157 Kadwa Mahu 197 861 196 858 99.7
,,4473 AKKALKUWA 182107 GANGAPUR 525160 Guliamba 121 640 121 640 100.0
,,4473 AKKALKUWA 182107 GANGAPUR 525162 Amalibari 138 589] 138 589 100.0
,,4473 AKKALKUWA 261585 KANKALA 525163 Kankala 379 1604] 379 1604] 100.0
,,4473 AKKALKUWA 261651 AMALI 525164 Aamali 302 1270) 302 1270) 100.0
,,4473 AKKALKUWA 182097 ALVIHIR 525165 Singpur Kh 239 1039} 238 1038} 99.9
,,4473 AKKALKUWA 182097 ALVIHIR 525166 Sojdan 142 575] 141 574 99.8
,,4473 AKKALKUWA 182097 ALVIHIR 525167 Alivihir 150 915} 150 915 100.0
,,4473 AKKALKUWA 182106 DEVMOGARA 525168 Devmogaranagar 442 2689) 439 2676 99.5
,,4473 AKKALKUWA 182109 GHATANI 525169 Ghantani 175 833} 174 831 99.8
,,4473 AKKALKUWA 182107 GANGAPUR 525171 Gangapur 324) 1420) 324) 1420) 100.0
,,4473 AKKALKUWA 182137 THANAVIHIR 525172 Thanavihir 345 1483} 344) 1481) 99.9
,,4473 AKKALKUWA 182125 NALA 525173 Nala 396 1825) 391 1804] 98.8
,,4473 AKKALKUWA 182141 VIRPUR 525174 Virpur 193 935} 192 932 99.7
,,4473 AKKALKUWA 182109 GHATANI 525176 Kakarpada 182 913} 182 913 100.0
,,4473 AKKALKUWA 182135 SORAPADO 525177 Galotha Kh 130 555] 121 518 93.3
,,4473 AKKALKUWA 182141 VIRPUR 525178 Timakmauli 128 658} 128 658 100.0
,,4473 AKKALKUWA 182125 NALA 525180 Wadfali (Na) 129 558 129 558 100.0
,,4473 AKKALKUWA 182098 BHABALPUR 525181 Bhabalpur 358 1582} 355 1571) 99.3
,,4473 AKKALKUWA 182134 SIGPUR BHU 525182 Singpur Budruk 236 962! 227] 929 96.6
,,4473 AKKALKUWA 182134 SIGPUR BHU 525183 Mandaviamba 147 667| 146 663 99.4
,,4473 AKKALKUWA 182134 SIGPUR BHU 525184 Janiamba 249 1092} 248 1091) 99.9
,,4473 AKKALKUWA 182143 VANYAVIHIR 525185 Vanyavihir Bk 419 2115) 245 1241) 58.7)
,,4473 AKKALKUWA 182135 SORAPADO 525187 Sorapada 437| 2111) 237| 1146) 54.3)
,,4474 AKARANI 299705 DOMKHEDI 525196 Tinasmal 107 602 107 602 100.0
,,4474 AKARANI 299703 DUTTAL 525197 Chickhedi 94 527] 94) 527 100.0
,,4474 AKARANI 299703 DUTTAL 525198 Duttal 116 566} 115 565 99.8
,,4474 AKARANI 261582 KHADKYA 525202 Bhanoli 101 546} 100 545 99.8
,,4474 AKARANI 182147 CHAPARI 525204 Chhapari 168 984} 158 928 94.3
,,4474 AKARANI 261580 NANDANWAD 525205 Nandalwad 255 1322} 252 1310 99.1
